GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.gf.gf-libs:: util-lib,com.gf.util.model.domain,Operator,0,64,0,0,0,7,0,1,0,1
com.gf.gf-libs:: util-lib,com.gf.util.model.domain,OrderType,0,24,0,0,0,3,0,1,0,1
com.gf.gf-libs:: util-lib,com.gf.util.model.dto.inquiry,ListRequest,0,129,0,0,0,33,0,13,0,13
com.gf.gf-libs:: util-lib,com.gf.logic.cache,CacheHelper,0,103,0,2,0,28,0,15,0,14
com.gf.gf-libs:: util-lib,com.gf.logic.cache,CacheManagerUtil,4,57,0,2,0,22,1,5,1,4
com.gf.gf-libs:: util-lib,com.gf.util.logic,ClassUtils,0,78,0,6,0,17,0,10,0,7
com.gf.gf-libs:: util-lib,com.gf.util.logic,RandomUtil,0,43,0,0,0,11,0,4,0,4
com.gf.gf-libs:: util-lib,com.gf.util.logic,StringUtil,0,62,0,0,0,13,0,6,0,6
com.gf.gf-libs:: util-lib,com.gf.util.logic.exception,GenericException,0,13,0,0,0,6,0,3,0,3
com.gf.gf-libs:: util-lib,com.gf.util.logic.exception,APIException,0,39,0,2,0,11,0,5,0,4
com.gf.gf-libs:: util-lib,com.gf.util.logic.validation,ValidationUtil,0,20,0,0,0,7,0,2,0,2
